selector,period,source_status,n,mean_pct,median_pct,win_pct,plus10_pct,plus20_pct,plus50_pct,minus10_pct,minus20_pct,max_up_pct,max_down_pct,top1_ex_mean_pct,top3_ex_mean_pct,one_hundred_shares_pl_yen
volr20_low,2023,EXACT_CANONICAL_ROWS,50,5.2452908360531199,0,48,30,18,8,30,6,106.403940887,-25.666666666699999,3.1808285901154281,0.30402425888416967,76073.333358767995
volr20_low,2024,EXACT_CANONICAL_ROWS,78,6.8766552790907545,1.6271409749650003,55.128205128205131,29.487179487179489,19.230769230769234,8.9743589743589745,24.358974358974358,8.9743589743589745,111.111111111,-52.370368109800005,5.522961047507521,3.0439043708157194,62209.999847480998
volr20_low,2025,EXACT_CANONICAL_ROWS,44,6.5762456563379548,0.36642258005999995,50,36.363636363636367,18.181818181818183,6.8181818181818175,31.818181818181817,6.8181818181818175,130,-39.869281045800001,3.7059257878806977,-0.18585319602512165,107759.99908447801
volr20_low,2026,EXACT_CANONICAL_ROWS,42,3.2030090985062474,-1.2454981992797098,42.857142857142854,28.571428571428569,19.047619047619047,2.3809523809523809,30.952380952380953,9.5238095238095237,51.147540983606568,-29.708520179372201,2.0336302720403858,-0.033122684689735636,117350
volr20_low,2023-2026,EXACT_CANONICAL_ROWS,214,5.7127329186348952,0.34825718818000001,50,30.841121495327101,18.691588785046729,7.009345794392523,28.504672897196258,7.9439252336448591,130,-52.370368109800005,5.1292246224782501,4.1469658416581403,363393.332290727
body_pct_low,2023,EXACT_CANONICAL_ROWS,50,5.8028565680406592,0.48262548262549998,50,30,20,8,30,6,106.403940887,-25.666666666699999,3.7497732145925098,0.89717929291346865,97406.664657596004
body_pct_low,2024,EXACT_CANONICAL_ROWS,78,6.8829992464402423,1.6271409749650003,53.846153846153847,29.487179487179489,16.666666666666664,7.6923076923076925,28.205128205128204,8.9743589743589745,111.111111111,-41.923076923099998,5.5293874040433639,3.0505020968591867,78791.668701215007
body_pct_low,2025,EXACT_CANONICAL_ROWS,44,6.7812724081499995,-3.76121145847,45.454545454545453,36.363636363636367,20.454545454545457,6.8181818181818175,31.818181818181817,6.8181818181818175,130,-39.869281045800001,3.9157206036883734,0.034175513236585187,94886.666107188008
body_pct_low,2026,EXACT_CANONICAL_ROWS,42,4.9018338774162,1.3792172739541197,50,35.714285714285715,23.809523809523807,2.3809523809523809,28.571428571428569,9.5238095238095237,51.147540983606568,-29.708520179372201,3.773889801655459,1.7963809233671377,139100
body_pct_low,2023-2026,EXACT_CANONICAL_ROWS,214,6.2208868151142633,0.98767598767550013,50.467289719626166,32.242990654205606,19.626168224299064,6.5420560747663545,29.439252336448597,7.9439252336448591,130,-41.923076923099998,5.6397642180021244,4.6623446750542756,410184.99946599902
mean_rank_volr20_body_pct,2023,EXACT_CANONICAL_ROWS,50,5.1692758213010599,0,48,28.000000000000004,18,8,30,6,106.403940887,-25.666666666699999,3.103262248531693,0.22315722191389312,72006.664657596004
mean_rank_volr20_body_pct,2024,EXACT_CANONICAL_ROWS,78,8.441927365864089,2.4338099042049999,58.974358974358978,33.333333333333329,20.512820512820511,8.9743589743589745,24.358974358974358,8.9743589743589745,111.111111111,-52.370368109800005,7.1085613431999857,4.6717873410599857,118416.66946415699
mean_rank_volr20_body_pct,2025,EXACT_CANONICAL_ROWS,44,6.0859365475731817,-4.04467999456,45.454545454545453,34.090909090909086,18.181818181818183,6.8181818181818175,34.090909090909086,6.8181818181818175,130,-39.869281045800001,3.2042141417027907,-0.71203858104097562,96299.999237067997
mean_rank_volr20_body_pct,2026,EXACT_CANONICAL_ROWS,42,5.0805830389545514,1.3792172739541197,50,35.714285714285715,23.809523809523807,2.3809523809523809,28.571428571428569,9.5238095238095237,51.147540983606568,-29.708520179372201,3.9569986988410881,1.9888800204084387,138700
mean_rank_volr20_body_pct,2023-2026,EXACT_CANONICAL_ROWS,214,6.5331767351951546,1.4520202020200002,51.86915887850467,32.710280373831772,20.093457943925234,7.009345794392523,28.504672897196258,7.9439252336448591,130,-52.370368109800005,5.9535202879425517,4.9790747361789727,425423.33335882105
dual_top1_agreement,2023,EXACT_CANONICAL_ROWS,46,6.0171978247883908,0.48262548262549998,50,30.434782608695656,19.565217391304348,8.695652173913043,30.434782608695656,6.5217391304347823,106.403940887,-25.666666666699999,3.7863813122947989,0.67013251872479029,83173.33335876801
dual_top1_agreement,2024,EXACT_CANONICAL_ROWS,57,7.5734310360112103,1.7391304347800001,56.140350877192979,28.07017543859649,17.543859649122805,8.7719298245614024,26.315789473684209,10.526315789473683,111.111111111,-41.923076923099998,5.7245438918149825,2.2888756499025749,71713.330841107003
dual_top1_agreement,2025,EXACT_CANONICAL_ROWS,37,7.969330499775948,-2.39520958084,48.648648648648653,37.837837837837839,18.918918918918919,8.1081081081081088,29.72972972972973,8.1081081081081088,130,-39.869281045800001,4.5795896803252782,-0.062045924240881983,83479.997253427995
dual_top1_agreement,2026,EXACT_CANONICAL_ROWS,36,3.260428790613211,-0.98663460536173586,44.444444444444443,27.777777777777779,19.444444444444446,2.7777777777777777,30.555555555555557,11.111111111111111,51.147540983606568,-29.708520179372201,1.8922255850991161,-0.55887061751777178,100650
dual_top1_agreement,2023-2026,EXACT_CANONICAL_ROWS,176,6.367712124697106,0.98767598767550013,50.56818181818182,30.681818181818183,18.75,7.3863636363636367,28.97727272727273,9.0909090909090917,130,-41.923076923099998,5.6612419082668026,4.4693773523045692,339016.66145330301
dual_top1_agreement_g3_no_acute_selloff,2023,EXACT_CANONICAL_ROWS,36,5.4444373782665281,0.50505050505000004,50,30.555555555555557,16.666666666666664,8.3333333333333321,33.333333333333329,8.3333333333333321,106.403940887,-25.666666666699999,2.5598801351598564,-1.360041156091061,41343.334579468006
dual_top1_agreement_g3_no_acute_selloff,2024,EXACT_CANONICAL_ROWS,47,8.862385067113447,1.9819819819800002,59.574468085106382,27.659574468085108,19.148936170212767,10.638297872340425,25.531914893617021,12.76595744680851,111.111111111,-41.923076923099998,6.6395866748550443,2.4646775953734554,74543.330383343011
dual_top1_agreement_g3_no_acute_selloff,2025,EXACT_CANONICAL_ROWS,34,9.4346421270532357,0.36642258005999995,50,38.235294117647058,20.588235294117645,8.8235294117647065,26.47058823529412,5.8823529411764701,130,-39.869281045800001,5.7811464339336354,0.767840077545485,87679.997253427995
dual_top1_agreement_g3_no_acute_selloff,2026,EXACT_CANONICAL_ROWS,32,2.5819242383118652,-0.98663460536173586,43.75,25,15.625,3.125,31.25,9.375,51.147540983606568,-25.921219822109276,1.0152914400765529,-1.8343652142821514,86750
dual_top1_agreement_g3_no_acute_selloff,2023-2026,EXACT_CANONICAL_ROWS,149,6.8183305484410512,1.3888888888900002,51.677852348993291,30.201342281879196,18.120805369127517,8.0536912751677843,28.859060402684566,9.3959731543624159,130,-41.923076923099998,5.9860219710656555,4.5781931487651839,290316.66221623903
volr20_low,2022,SUMMARY_ONLY_HISTORICAL_ROWS_MISSING,23,1.95,-6.1900000000000004,26.09,17.390000000000001,13.039999999999999,,21.739999999999998,4.3499999999999996,,,,-7.3099999999999996,
body_pct_low,2022,SUMMARY_ONLY_HISTORICAL_ROWS_MISSING,23,1.77,-6.3700000000000001,26.09,17.390000000000001,13.039999999999999,,21.739999999999998,4.3499999999999996,,,,-7.5099999999999998,
mean_rank_volr20_body_pct,2022,SUMMARY_ONLY_HISTORICAL_ROWS_MISSING,23,1.73,-6.3700000000000001,26.09,17.390000000000001,13.039999999999999,,21.739999999999998,4.3499999999999996,,,,-7.5599999999999996,
dual_top1_agreement,2022,SUMMARY_ONLY_HISTORICAL_ROWS_MISSING,21,2.6200000000000001,-6.1900000000000004,28.57,19.050000000000001,14.289999999999999,,23.809999999999999,4.7599999999999998,,,,-7.5499999999999998,
dual_top1_agreement_g3_no_acute_selloff,2022,SUMMARY_ONLY_HISTORICAL_ROWS_MISSING,17,6.0800000000000001,-6,29.41,17.649999999999999,17.649999999999999,,17.649999999999999,0,,,,-6.2599999999999998,
