date,open,high,low,close,volume,symbol,ret1,ret2,ret3,ret5,ret10,ret20,ret40,ma5_gap,volr5,ma10_gap,volr10,ma20_gap,volr20,ma40_gap,volr40,rsi14,atr14p,body_pct,lower_wick,upper_wick,range_pct,gap,pos10,dd10,bounce10,pos20,dd20,bounce20,pos40,dd40,bounce40,pos60,dd60,bounce60,stoch14,bbpct,bbwidth,volz20,log_dv,down3,down5,target5_cc,next_open,target5_no,target_end_date,prev_close,prev_volume,breadth_ret1_pos,med_ret1,med_ret5,breadth_ma20,future_rank,y_top1,y_top025,y_hit20,y_loss10,tail_p,tail_cdf,model_period
2026-01-19,246,350,237,350,9860800,198A,0.29629629629629628,0.58371040723981893,1.0467836257309941,0.97740112994350281,1.0348837209302326,0.65094339622641506,0.60550458715596323,0.48054145516074454,1.9182793690812459,0.71232876712328763,3.3180790352105092,0.82149362477231325,3.2859256494674964,0.7537266691719906,1.9804959072737152,83.75,0.077959183673469379,0.92035398230088494,0.079646017699115043,0,0.32285714285714284,-0.088888888888888906,1,0,1.147239263803681,1,0,1.1604938271604937,1,0,1.5,0.85365853658536583,-0.093264248704663211,1.5,100,1.4185457740021512,0.89434152115579746,1.6711423021300216,21.962011013963323,0,1,-0.17714285714285716,363,-0.20661157024793386,2026-01-26,270,13980800,0.4430517711171662,-0.0005586886858674478,0.01637285543695477,0.83378746594005448,0.0043336944745395447,0,0,0,1,0.83363431692123413,0.99920119494109927,2026-01
2026-01-21,272,348,262,328,14191300,2667,0.22388059701492535,0.16312056737588643,0.11945392491467577,0.34979423868312765,0.60000000000000009,1.0122699386503067,0.81215469613259672,0.146051712089448,3.9120570738619134,0.24904798172124898,5.5265730207996633,0.49158708503865389,8.6903245560318432,0.70900091181451086,15.724475691068397,84.821428571428569,0.075348432055749134,0.65116279069767447,0.11627906976744186,0.23255813953488372,0.26219512195121952,0.014925373134328401,0.85815602836879434,-0.057471264367816133,0.5845410628019323,0.8936170212765957,-0.057471264367816133,1.0499999999999998,0.89898989898989901,-0.057471264367816133,1.1866666666666665,0.89898989898989901,-0.057471264367816133,1.1866666666666665,88.826815642458101,1.0585788349854572,0.8800675110639532,4.2173614251105693,22.26115326735146,2,2,-0.10670731707317072,312,-0.060897435897435903,2026-01-28,268,501200,0.21852861035422344,-0.0071750440710753316,-0.0012815270152573555,0.69999999999999996,0.11247216035634744,0,0,0,0,0.84432011842727661,0.99954269152761821,2026-01
2026-01-22,312,332,292,303,11606500,2667,-0.076219512195121908,0.13059701492537323,0.074468085106383031,0.16538461538461546,0.3526785714285714,0.82530120481927716,0.73142857142857154,0.027815468113975506,2.0049854719960201,0.12014787430683915,3.2364431332416856,0.33627342888643885,5.2574956627302827,0.55285073670723905,9.7664105822064773,75.619834710743802,0.088637435172088636,-0.22500000000000001,0.27500000000000002,0.5,0.132013201320132,-0.048780487804878092,0.63709677419354838,-0.12931034482758619,0.3526785714285714,0.76063829787234039,-0.12931034482758619,0.89375000000000004,0.77272727272727271,-0.12931034482758619,1.02,0.77272727272727271,-0.12931034482758619,1.02,74.285714285714292,0.88171693454089906,0.88094972598185539,2.5680502291382745,21.980808649763361,2,3,0.01980198019801982,300,0.030000000000000027,2026-01-29,328,14191300,0.67029972752043598,0.0059732059484344235,-0.0016214027795851682,0.74795640326975477,0.92400881057268724,0,0,0,0,0.83228695392608643,0.99914774330147027,2026-01
2026-01-27,420,484,415,484,25557000,3103,0.19801980198019797,0.24102564102564106,0.3595505617977528,0.39481268011527382,0.41520467836257313,0.86153846153846159,0.48466257668711665,0.21121121121121122,2.6292344284961811,0.24293785310734473,3.1274206397280442,0.40026037899609435,4.6344291829227711,0.55165504528332132,5.6362784286698826,80.519480519480524,0.074970484061393144,0.92753623188405798,0.072463768115942032,0,0.14256198347107438,0.039603960396039639,1,0,0.44910179640718573,1,0,0.85440613026819934,1,0,0.93599999999999994,1,0,1.6021505376344085,100,1.1549855309497647,0.61109804733502293,3.9374925907254132,23.238506716490562,0,1,0.37809917355371891,564,0.18262411347517737,2026-02-03,404,5682700,0.42425068119891007,-0.0004613494844648014,-0.0098168396439032857,0.56430517711171657,0.98442714126807562,0,0,0,0,0.85525894165039062,0.99976342700238252,2026-01
2026-01-29,654,654,480,529,51455200,3103,-0.062056737588652489,0.092975206611570327,0.30940594059405946,0.48595505617977519,0.32581453634085222,0.90974729241877261,0.43360433604336035,0.11556305356389718,2.8797661049125134,0.25683060109289624,4.3651973260035968,0.41918175720992612,6.6040468641006536,0.6459240821406349,9.7912970920693283,76.426799007444174,0.097893599783958951,-0.7183908045977011,0.28160919540229884,0,0.32892249527410206,0.15957446808510634,0.609375,-0.19113149847094801,0.58383233532934131,0.6693121693121693,-0.19113149847094801,0.91666666666666674,0.69059405940594054,-0.19113149847094801,1.1160000000000001,0.73290598290598286,-0.19113149847094801,1.8440860215053765,63.017751479289942,1.0207644812479579,0.80493538308411616,3.8810511592834596,24.027210516031271,1,1,0.27032136105860105,538,0.24907063197026025,2026-02-05,564,1079500,0.40899182561307901,-0.0015506097047850442,-0.019824802681709386,0.38092643051771119,0.98656215005599102,0,0,1,0,0.85802161693572998,0.99981984817754654,2026-01
2026-01-30,538,629,533,629,39444100,3103,0.18903591682419663,0.11524822695035453,0.29958677685950419,0.61282051282051286,0.60869565217391308,1.1467576791808876,0.93538461538461548,0.20498084291187735,1.6005754006094863,0.41443669889813362,2.6313152673802858,0.61468360929277366,4.1053713470910731,0.91185410334346506,6.5595255814030837,80.572597137014313,0.092096297978650918,0.94791666666666663,0.052083333333333336,0,0.15262321144674085,0.017013232514177634,0.921875,-0.038226299694189558,0.88323353293413165,0.93188010899182561,-0.038226299694189558,1.1916376306620209,0.93811881188118806,-0.038226299694189558,1.516,0.94658119658119655,-0.038226299694189558,2.381720430107527,92.211838006230536,1.1567026607666129,0.93601510396685861,2.2731705577435322,23.934526294411722,1,1,0.22734499205087433,636,0.21383647798742134,2026-02-06,529,51455200,0.60490463215258861,0.0039232651768850157,-0.018878578724785433,0.41880108991825615,0.9765625,0,0,1,0,0.87322854995727539,0.99998416247714694,2026-01
2026-01-15,370.66665649414062,500,351.66665649414062,500,6065700,4422,0.25,0.10456556237751524,0.97889178074473326,1.6881720430107525,1.9239766081871346,1.6315789473684212,2.0364371531733725,0.37011327033477137,1.4151630107647297,0.84547244440940905,2.8204555916693401,1.2556391080957359,5.5253737053534833,1.5941458911612347,10.889897262579611,86.363638956939099,0.090285716465541302,0.87191012114380428,0.12808987885619577,0,0.29666668701171878,-0.073333358764648415,0.86964124665983722,-0.090357826270559216,1.9644267880759623,0.86998249992720122,-0.090357826270559216,1.9821072654009031,0.87404898442446632,-0.090357826270559216,2.2188842255714065,0.87404898442446632,-0.090357826270559216,2.2188842255714065,86.964124665983718,1.1991587584033208,1.795928454022742,1.9069763513599907,21.832768608775417,1,1,-0.2626666870117188,566.66668701171875,-0.34941180601548838,2026-01-22,400,5957400,0.70844686648501365,0.0064034224481985813,0.017827960577720181,0.84495912806539508,0.0010570824524312897,0,0,0,1,0.84357917308807373,0.99952091493369521,2026-01
2026-01-26,75,93,73,90,25925500,4596,0.36363636363636354,0.52542372881355925,0.5,0.34328358208955234,1,1.0930232558139537,0.80000000000000004,0.34730538922155696,2.4412280387877052,0.54639175257731942,3.188966450382853,0.76991150442477863,6.0009744885381862,0.8339276617422311,10.400392338960001,84.285714285714292,0.088888888888888892,0.75,0.10000000000000001,0.14999999999999999,0.22222222222222221,0.13636363636363646,0.93999999999999995,-0.032258064516129004,1.0930232558139537,0.94230769230769229,-0.032258064516129004,1.1951219512195124,0.94230769230769229,-0.032258064516129004,1.1951219512195124,0.94230769230769229,-0.032258064516129004,1.1951219512195124,94.117647058823536,1.3071838958775981,0.953824163684168,2.9733990125347298,21.570547269055815,1,2,0.4111111111111112,92,0.38043478260869557,2026-02-02,66,7381500,0.17738419618528611,-0.011921037517864053,-0.012738058120223716,0.60817438692098091,0.99775784753363228,1,1,1,0,0.84727269411087036,0.99961198069010027,2026-01
2026-01-28,87,102,86,99,22505100,4596,0.19277108433734935,0.10000000000000009,0.5,0.64999999999999991,1.25,1.3023255813953489,0.97999999999999998,0.24685138539042817,1.7161596627633517,0.46666666666666656,2.0441453503052807,0.77737881508078988,3.9004619700148444,0.9364303178484108,6.9475195258234805,79.775280898876403,0.098845598845598848,0.75,0.0625,0.1875,0.16161616161616163,0.048192771084337283,0.94915254237288138,-0.029411764705882359,1.3023255813953489,0.94999999999999996,-0.029411764705882359,1.3571428571428572,0.95081967213114749,-0.029411764705882359,1.4146341463414633,0.95081967213114749,-0.029411764705882359,1.4146341463414633,94.915254237288138,1.1422212107122751,1.2104533486500924,2.0539307033904866,21.524372358739729,1,2,0.11111111111111116,104,0.057692307692307709,2026-02-04,83,7652400,0.17602179836512261,-0.0095280320064181634,-0.011119943472884641,0.41798365122615805,0.86638954869358675,0,0,0,0,0.86440765857696533,0.99991190377912986,2026-01
2026-01-29,104,106,90,95,10530500,4596,-0.040404040404040442,0.14457831325301207,0.05555555555555558,0.61016949152542366,1.1590909090909092,1.2619047619047619,0.7592592592592593,0.096997690531177794,0.71156834921278467,0.30853994490358128,0.874646586465466,0.62810625535561271,1.6816190044266159,0.82166826462128473,3.0546452406869289,76.344086021505376,0.11353383458646617,-0.5625,0.3125,0.125,0.16842105263157894,0.050505050505050608,0.82258064516129037,-0.10377358490566035,1.1590909090909092,0.828125,-0.10377358490566035,1.2619047619047619,0.83076923076923082,-0.10377358490566035,1.3170731707317072,0.83076923076923082,-0.10377358490566035,1.3170731707317072,82.539682539682545,0.99334425738098087,1.2731601634324143,0.525454469389392,20.723663258963818,2,2,0.31578947368421062,104,0.20192307692307687,2026-02-05,99,22505100,0.40899182561307901,-0.0015506097047850442,-0.019824802681709386,0.38092643051771119,0.97984322508398658,0,0,1,0,0.84956109523773193,0.99965157449723285,2026-01
