selector_id,selector_name,period,n,pending,mean_pct,median_pct,win_pct,plus10_pct,plus20_pct,minus10_pct,minus20_pct,max_up_pct,max_down_pct,top3_ex_mean_pct,cash_pl_100_yen,required_capital_yen,capital_return_pct,simple_annualized_pct
volr20_low,Silence,2023,50,0,5.24529083605,0,48,30,18,30,6,106.403940887,-25.6666666667,0.304024258884,76073.3333588,313300,24.2813065301,24.364189836
volr20_low,Silence,2024,78,0,6.87665527909,1.62714097497,55.1282051282,29.4871794872,19.2307692308,24.358974359,8.97435897436,111.111111111,-52.3703681098,3.04390437082,62209.9998475,327400,19.0012217005,19.0138457999
volr20_low,Silence,2025,44,0,6.57624565634,0.36642258006,50,36.3636363636,18.1818181818,31.8181818182,6.81818181818,130,-39.8692810458,-0.185853196025,107759.999084,300800,35.8244677807,35.9467532236
volr20_low,Silence,2026,42,0,3.2030090985,-1.24549819928,42.8571428571,28.5714285714,19.0476190476,30.9523809524,9.52380952381,51.1475409836,-29.7085201794,-0.0331226846948,117350,282900,41.4810887239,57.6070591188
volr20_low,Silence,2023-2026,214,0,5.71273291863,0.34825718818,50,30.8411214953,18.691588785,28.5046728972,7.94392523364,130,-52.3703681098,4.14696584166,363393.332291,327400,110.993687322,29.8304722896
body_pct_low,Dive,2023,50,0,5.80285656804,0.482625482625,50,30,20,30,6,106.403940887,-25.6666666667,0.897179292913,97406.6646576,313300,31.0905409057,31.1966672713
body_pct_low,Dive,2024,78,0,6.88299924644,1.62714097497,53.8461538462,29.4871794872,16.6666666667,28.2051282051,8.97435897436,111.111111111,-41.9230769231,3.05050209686,78791.6687012,264400,29.8001772697,29.8199760177
body_pct_low,Dive,2025,44,0,6.78127240815,-3.76121145847,45.4545454545,36.3636363636,20.4545454545,31.8181818182,6.81818181818,130,-39.8692810458,0.0341755132366,94886.6661072,272900,34.7697567267,34.888441954
body_pct_low,Dive,2026,42,0,4.90183387741,1.37921727396,50,35.7142857143,23.8095238095,28.5714285714,9.52380952381,51.1475409836,-29.7085201794,1.79638092336,139100,282900,49.1693177801,68.2841237616
body_pct_low,Dive,2023-2026,214,0,6.22088681511,0.987675987676,50.4672897196,32.2429906542,19.6261682243,29.4392523364,7.94392523364,130,-41.9230769231,4.66234467505,410184.999466,313300,130.924034301,35.1869180267
mean_rank_volr20_body_pct,Shadow,2023,50,0,5.1692758213,0,48,28,18,30,6,106.403940887,-25.6666666667,0.223157221914,72006.6646576,313300,22.9832954541,23.0617480491
mean_rank_volr20_body_pct,Shadow,2024,78,0,8.44192736586,2.4338099042,58.9743589744,33.3333333333,20.5128205128,24.358974359,8.97435897436,111.111111111,-52.3703681098,4.67178734106,118416.669464,264400,44.7869400394,44.8166957461
mean_rank_volr20_body_pct,Shadow,2025,44,0,6.08593654757,-4.04467999456,45.4545454545,34.0909090909,18.1818181818,34.0909090909,6.81818181818,130,-39.8692810458,-0.712038581041,96299.9992371,272900,35.2876508747,35.4081039137
mean_rank_volr20_body_pct,Shadow,2026,42,0,5.08058303895,1.37921727396,50,35.7142857143,23.8095238095,28.5714285714,9.52380952381,51.1475409836,-29.7085201794,1.9888800204,138700,282900,49.0279250619,68.0877639521
mean_rank_volr20_body_pct,Shadow,2023-2026,214,0,6.53317673519,1.45202020202,51.8691588785,32.7102803738,20.0934579439,28.5046728972,7.94392523364,130,-52.3703681098,4.97907473618,425423.333359,313300,135.787849779,36.4941086998
dual_top1_agreement,Fusion,2023,46,0,6.01719782479,0.482625482625,50,30.4347826087,19.5652173913,30.4347826087,6.52173913043,106.403940887,-25.6666666667,0.670132518725,83173.3333588,313300,26.5475050618,26.6381239493
dual_top1_agreement,Fusion,2024,57,0,7.57343103601,1.73913043478,56.1403508772,28.0701754386,17.5438596491,26.3157894737,10.5263157895,111.111111111,-41.9230769231,2.2888756499,71713.3308411,264400,27.1230449475,27.1410650527
dual_top1_agreement,Fusion,2025,37,0,7.96933049978,-2.39520958084,48.6486486486,37.8378378378,18.9189189189,29.7297297297,8.10810810811,130,-39.8692810458,-0.0620459242409,83479.9972534,210300,39.6956715423,39.8311711903
dual_top1_agreement,Fusion,2026,36,0,3.26042879061,-0.986634605359,44.4444444444,27.7777777778,19.4444444444,30.5555555556,11.1111111111,51.1475409836,-29.7085201794,-0.558870617522,100650,282900,35.5779427359,49.4090370712
dual_top1_agreement,Fusion,2023-2026,176,0,6.3677121247,0.987675987676,50.5681818182,30.6818181818,18.75,28.9772727273,9.09090909091,130,-41.9230769231,4.4693773523,339016.661453,313300,108.20831837,29.0818813262
dual_top1_agreement_g3_no_acute_selloff,Balance,2023,36,0,5.44443737827,0.50505050505,50,30.5555555556,16.6666666667,33.3333333333,8.33333333333,106.403940887,-25.6666666667,-1.36004115609,41343.3345795,313300,13.1960850876,13.2411294165
dual_top1_agreement_g3_no_acute_selloff,Balance,2024,47,0,8.86238506711,1.98198198198,59.5744680851,27.6595744681,19.1489361702,25.5319148936,12.7659574468,111.111111111,-41.9230769231,2.46467759537,74543.3303833,199600,37.3463579075,37.3711702138
dual_top1_agreement_g3_no_acute_selloff,Balance,2025,34,0,9.43464212705,0.36642258006,50,38.2352941176,20.5882352941,26.4705882353,5.88235294118,130,-39.8692810458,0.767840077545,87679.9972534,210300,41.6928184752,41.8351353075
dual_top1_agreement_g3_no_acute_selloff,Balance,2026,32,0,2.58192423831,-0.986634605359,43.75,25,15.625,31.25,9.375,51.1475409836,-25.9212198221,-1.83436521429,86750,282900,30.6645457759,42.5855336903
dual_top1_agreement_g3_no_acute_selloff,Balance,2023-2026,149,0,6.81833054844,1.38888888889,51.677852349,30.2013422819,18.1208053691,28.8590604027,9.39597315436,130,-41.9230769231,4.57819314876,290316.662216,313300,92.664111783,24.9042471287
all_conditions_stacked,Cloud合計（モード別積上げ）,2023,232,0,5.5330258915,0,49.1379310345,29.7413793103,18.5344827586,30.6034482759,6.46551724138,106.403940887,-25.6666666667,4.21157285662,370003.330612,1566500,23.6197466079,23.7003717045
all_conditions_stacked,Cloud合計（モード別積上げ）,2024,338,0,7.6329617004,1.98198198198,56.5088757396,29.8816568047,18.6390532544,25.7396449704,9.76331360947,111.111111111,-52.3703681098,6.70629170568,405674.999237,1257200,32.2681354786,32.2895738974
all_conditions_stacked,Cloud合計（モード別積上げ）,2025,203,0,7.24706927952,-2.39520958084,47.7832512315,36.4532019704,19.2118226601,31.0344827586,6.89655172414,130,-39.8692810458,5.40577531871,470106.658936,1267200,37.098063363,37.2246961754
all_conditions_stacked,Cloud合計（モード別積上げ）,2026,194,0,3.88548919954,-0.502680975429,46.3917525773,30.9278350515,20.618556701,29.8969072165,9.79381443299,51.1475409836,-29.7085201794,3.14315330765,582550,1414500,41.1841640156,57.1947035188
all_conditions_stacked,Cloud合計（モード別積上げ）,2023-2026,967,0,6.29632164428,1.0101010101,50.8790072389,31.4374353671,19.1313340228,28.8521199586,8.37642192347,130,-52.3703681098,5.91135169089,1828334.98879,1566500,116.714649779,31.3680283089
all_conditions_unique,Cloud合計（銘柄均等）,2023,54,0,5.1040050049,0,48.1481481481,29.6296296296,18.5185185185,29.6296296296,5.55555555556,106.403940887,-25.6666666667,0.541977816261,90306.6646576,313300,28.824342374,28.922733158
all_conditions_unique,Cloud合計（銘柄均等）,2024,99,0,6.48047963575,1.51515151515,53.5353535354,30.303030303,18.1818181818,26.2626262626,8.08080808081,111.111111111,-52.3703681098,3.4737624998,69288.3377076,349100,19.8477048718,19.8608913607
all_conditions_unique,Cloud合計（銘柄均等）,2025,52,0,5.46079724532,-3.76121145847,46.1538461538,34.6153846154,19.2307692308,32.6923076923,5.76923076923,130,-39.8692810458,-0.265578227738,117866.667938,363400,32.4344160535,32.5451296852
all_conditions_unique,Cloud合計（銘柄均等）,2026,48,0,4.64641601096,-0.356603645609,47.9166666667,35.4166666667,22.9166666667,29.1666666667,8.33333333333,51.1475409836,-29.7085201794,1.93799559303,155800,322900,48.2502322701,67.0077393912
all_conditions_unique,Cloud合計（銘柄均等）,2023-2026,253,0,5.62914300192,0,49.8023715415,32.0158102767,19.3675889328,28.8537549407,7.11462450593,130,-52.3703681098,4.30663250995,433261.670303,363400,119.224455229,32.0425593003
