selector_id,selector_name,period,n,pending,mean_pct,median_pct,win_pct,plus10_pct,plus20_pct,minus10_pct,minus20_pct,max_up_pct,max_down_pct,top3_ex_mean_pct,cash_pl_100_yen,required_capital_yen,capital_return_pct,simple_annualized_pct
volr20_low,Silence,2023-01,3,0,7.2586761858,5.6338028169,66.6666666667,33.3333333333,33.3333333333,0,0,24.7311827957,-8.58895705521,,5700,88900,6.41169853768,195.152066929
volr20_low,Silence,2023-02,4,0,4.33612626762,7.834893437,75,50,0,25,0,16.3043478261,-14.6296296296,-14.6296296296,-9800,145500,-6.735395189,-123.002628866
volr20_low,Silence,2023-03,3,0,16.4275986671,2.57862019089,66.6666666667,33.3333333333,33.3333333333,33.3333333333,0,61.4876033058,-14.7834274953,,30170.0012207,145400,20.7496569606,582.973583264
volr20_low,Silence,2023-04,6,0,0.314599018596,-3.07059961315,33.3333333333,16.6666666667,0,16.6666666667,0,19.1950464396,-12.5874125874,-7.77547778234,3300,155000,2.12903225806,22.8709724858
volr20_low,Silence,2023-05,9,0,-0.00256449413667,-11.1111111111,44.4444444444,33.3333333333,22.2222222222,55.5555555556,0,29.9163179916,-14.5736434109,-10.4567383075,1800,225400,0.798580301686,13.2579757199
volr20_low,Silence,2023-06,3,0,55.7891828534,54.3933054393,100,66.6666666667,66.6666666667,0,0,106.403940887,6.5703022339,,39600,120300,32.9177057357,1001.91209476
volr20_low,Silence,2023-07,2,0,-3.86060272465,-3.86060272465,50,50,0,50,0,10.650887574,-18.3720930233,,-4300,76800,-5.59895833333,-204.497753906
volr20_low,Silence,2023-08,4,0,-7.12340505805,-2.92397660818,25,0,0,25,25,2.88624787776,-25.5319148936,-25.5319148936,-4100,58900,-6.96095076401,-97.785963824
volr20_low,Silence,2023-09,2,0,-7.73535855597,-7.73535855597,0,0,0,50,0,-0.566037735849,-14.9046793761,,-8900,110700,-8.03974706414,-293.645731707
volr20_low,Silence,2023-10,10,0,5.9753251015,-2.36908554399,50,30,20,30,20,80.0838574423,-25.6666666667,-10.1783317839,15200,313300,4.85157995531,61.1035583389
volr20_low,Silence,2023-12,4,0,-0.859639568165,-2.62340551718,25,25,25,25,0,21.5596330275,-19.7513802658,-19.7513802658,7403.33213806,131383.334541,5.63490960548,121.06520421
volr20_low,Silence,2024-01,2,0,-3.92254824482,-3.92254824482,50,0,0,0,0,2.03442158266,-9.87951807229,,-7940.00091553,95780.0003052,-8.28983179184,-378.474861029
volr20_low,Silence,2024-02,2,0,8.52947973344,8.52947973344,100,50,0,0,0,12.2291021672,4.82985729967,,12300,155700,7.89980732177,360.668171965
volr20_low,Silence,2024-03,9,0,-1.20003476,-3.8961038961,44.4444444444,0,0,22.2222222222,0,9.375,-12,-5.66086358465,-8900,104200,-8.54126679463,-103.987787908
volr20_low,Silence,2024-04,8,0,2.51520341831,6.12345679013,62.5,25,12.5,37.5,12.5,53.0864197531,-41.9230769231,-10.2067008126,-16900,161200,-10.4838709677,-153.166209677
