detection_id,signal_date,symbol,company_name,signal_close,signal_volume,selector_id,selector_name,model_period,status,entry_date,entry_open,fifth_xtks_exit_date,fifth_xtks_exit_close,gross_return,one_hundred_shares_pl_yen,med_ret5,med_ret1,ret10,volr20,body_pct,rank_volr20,rank_body_pct,mean_rank,tail_cdf,tail_p,source_scope,source_sha256,signal_discord_url,notified_at,fundamental_status,fundamental_discord_url,fundamental_html,created_at,updated_at
2023-01-04|3133|body_pct_low,2023-01-04,3133,海帆,,,body_pct_low,陰線沈み込みリバウンド,2023-01,mature,2023-01-05,279,2023-01-12,348,0.247311827957,6900,-0.00157315154693,,0.323943661972,1.74665568403,0.851063829787,1,1,1,0.999138234586,0.8090759,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-04|3133|dual_top1_agreement,2023-01-04,3133,海帆,,,dual_top1_agreement,2条件一致リバウンド,2023-01,mature,2023-01-05,279,2023-01-12,348,0.247311827957,6900,-0.00157315154693,,0.323943661972,1.74665568403,0.851063829787,1,1,1,0.999138234586,0.8090759,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-04|3133|mean_rank_volr20_body_pct,2023-01-04,3133,海帆,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2023-01,mature,2023-01-05,279,2023-01-12,348,0.247311827957,6900,-0.00157315154693,,0.323943661972,1.74665568403,0.851063829787,1,1,1,0.999138234586,0.8090759,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-04|3133|volr20_low,2023-01-04,3133,海帆,,,volr20_low,出来高沈静リバウンド,2023-01,mature,2023-01-05,279,2023-01-12,348,0.247311827957,6900,-0.00157315154693,,0.323943661972,1.74665568403,0.851063829787,1,1,1,0.999138234586,0.8090759,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-05|3133|body_pct_low,2023-01-05,3133,海帆,,,body_pct_low,陰線沈み込みリバウンド,2023-01,mature,2023-01-06,284,2023-01-13,300,0.056338028169,1600,-0.00940623162845,,0.295454545455,1.4097944536,0.24,1,1,1,0.999342093071,0.817761,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-05|3133|dual_top1_agreement,2023-01-05,3133,海帆,,,dual_top1_agreement,2条件一致リバウンド,2023-01,mature,2023-01-06,284,2023-01-13,300,0.056338028169,1600,-0.00940623162845,,0.295454545455,1.4097944536,0.24,1,1,1,0.999342093071,0.817761,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-05|3133|dual_top1_agreement_g3_no_acute_selloff,2023-01-05,3133,海帆,,,dual_top1_agreement_g3_no_acute_selloff,地合い安定・2条件一致,2023-01,mature,2023-01-06,284,2023-01-13,300,0.056338028169,1600,-0.00940623162845,,0.295454545455,1.4097944536,0.24,1,1,1,0.999342093071,0.817761,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-05|3133|mean_rank_volr20_body_pct,2023-01-05,3133,海帆,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2023-01,mature,2023-01-06,284,2023-01-13,300,0.056338028169,1600,-0.00940623162845,,0.295454545455,1.4097944536,0.24,1,1,1,0.999342093071,0.817761,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-05|3133|volr20_low,2023-01-05,3133,海帆,,,volr20_low,出来高沈静リバウンド,2023-01,mature,2023-01-06,284,2023-01-13,300,0.056338028169,1600,-0.00940623162845,,0.295454545455,1.4097944536,0.24,1,1,1,0.999342093071,0.817761,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-06|3133|body_pct_low,2023-01-06,3133,海帆,,,body_pct_low,陰線沈み込みリバウンド,2023-01,mature,2023-01-10,326,2023-01-16,298,-0.0858895705521,-2800,-0.00328138038709,,0.285123966942,1.36860071358,0.6,1,1,1,0.999754443188,0.83848786,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-06|3133|dual_top1_agreement,2023-01-06,3133,海帆,,,dual_top1_agreement,2条件一致リバウンド,2023-01,mature,2023-01-10,326,2023-01-16,298,-0.0858895705521,-2800,-0.00328138038709,,0.285123966942,1.36860071358,0.6,1,1,1,0.999754443188,0.83848786,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-06|3133|dual_top1_agreement_g3_no_acute_selloff,2023-01-06,3133,海帆,,,dual_top1_agreement_g3_no_acute_selloff,地合い安定・2条件一致,2023-01,mature,2023-01-10,326,2023-01-16,298,-0.0858895705521,-2800,-0.00328138038709,,0.285123966942,1.36860071358,0.6,1,1,1,0.999754443188,0.83848786,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-06|3133|mean_rank_volr20_body_pct,2023-01-06,3133,海帆,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2023-01,mature,2023-01-10,326,2023-01-16,298,-0.0858895705521,-2800,-0.00328138038709,,0.285123966942,1.36860071358,0.6,1,1,1,0.999754443188,0.83848786,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-01-06|3133|volr20_low,2023-01-06,3133,海帆,,,volr20_low,出来高沈静リバウンド,2023-01,mature,2023-01-10,326,2023-01-16,298,-0.0858895705521,-2800,-0.00328138038709,,0.285123966942,1.36860071358,0.6,1,1,1,0.999754443188,0.83848786,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-02-02|7037|body_pct_low,2023-02-02,7037,テノ．ホールディングス,,,body_pct_low,陰線沈み込みリバウンド,2023-02,mature,2023-02-03,1080,2023-02-09,922,-0.146296296296,-15800,0,,0.506024096386,1.53975084511,0.903703703704,1,1,1,0.999322005524,0.8218695,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-02-02|7037|dual_top1_agreement,2023-02-02,7037,テノ．ホールディングス,,,dual_top1_agreement,2条件一致リバウンド,2023-02,mature,2023-02-03,1080,2023-02-09,922,-0.146296296296,-15800,0,,0.506024096386,1.53975084511,0.903703703704,1,1,1,0.999322005524,0.8218695,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-02-02|7037|dual_top1_agreement_g3_no_acute_selloff,2023-02-02,7037,テノ．ホールディングス,,,dual_top1_agreement_g3_no_acute_selloff,地合い安定・2条件一致,2023-02,mature,2023-02-03,1080,2023-02-09,922,-0.146296296296,-15800,0,,0.506024096386,1.53975084511,0.903703703704,1,1,1,0.999322005524,0.8218695,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-02-02|7037|mean_rank_volr20_body_pct,2023-02-02,7037,テノ．ホールディングス,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2023-02,mature,2023-02-03,1080,2023-02-09,922,-0.146296296296,-15800,0,,0.506024096386,1.53975084511,0.903703703704,1,1,1,0.999322005524,0.8218695,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2023-02-02|7037|volr20_low,2023-02-02,7037,テノ．ホールディングス,,,volr20_low,出来高沈静リバウンド,2023-02,mature,2023-02-03,1080,2023-02-09,922,-0.146296296296,-15800,0,,0.506024096386,1.53975084511,0.903703703704,1,1,1,0.999322005524,0.8218695,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
