selector,candidate,period,coverage,n,minimum_starting_cash_yen,ending_cash_yen,cash_profit_yen,increase_on_starting_cash_pct,gross_deployed_capital_yen,profit_on_gross_deployed_pct,mean_trade_return_pct,cash_rank
mean_rank_volr20_body_pct,"mean-rank(volr20, body_pct)",TOTAL,2023-2026,214,212996.66748050001,638420.00083941,425423.33335890999,199.73238942710586,8712550.0040053278,4.8828796754490327,6.5331767351951537,1
body_pct_low,body_pct LOW,TOTAL,2023-2026,214,217696.66748050001,627881.66694651998,410184.99946601997,188.42043115003676,9015171.6707229186,4.5499410820773374,6.2208868151142624,2
volr20_low,volr20 LOW,TOTAL,2023-2026,214,208929.99877930002,572323.3310700201,363393.33229072002,173.93066309955086,8609910.0046157092,4.2206403097814906,5.7127329186348943,3
dual_top1_agreement,DUAL_TOP1_AGREEMENT,TOTAL,2023-2026,176,201829.99877930002,540846.66023253999,339016.66145323997,167.97139350129652,7284450.0055313082,4.653977461521654,6.367712124697106,4
dual_top1_agreement_g3_no_acute_selloff,DUAL + G3,TOTAL,2023-2026,149,243079.99877930002,533396.66099543998,290316.66221613996,119.43255869427891,6258660.0046158079,4.6386392934274951,6.8183305484410512,5
