date,symbol,family,spec_hash,identity_key,score,raw_rank,daily_candidate_count,tie_break_json,volr20_rank_value,tail_cdf,tail_p,ret1,ret10,volr20,market_median_ret5_lag1,cooldown_status,cooldown_blocked,post_cooldown_count,cooldown_blocked_count,year
2022-10-14 00:00:00,7692,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,7692,1.3372635895933649,1,1,"{""tail_cdf"":0.999921993560923,""tail_p"":0.8662043809890747}",1.3372635895933649,0.999921993560923,0.8662043809890747,-0.0537791131701959,-0.15454546492215193,1.3372635895933649,-0.019965628162026405,DETECTED,False,1,0,2022
2022-10-17 00:00:00,7692,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,7692,0.41255282798309506,1,1,"{""tail_cdf"":0.9998085296495384,""tail_p"":0.8552246689796448}",0.41255282798309506,0.9998085296495384,0.8552246689796448,-0.015360946032572653,-0.29560436999925876,0.41255282798309506,-0.010734959039837122,COOLDOWN_BLOCKED,True,0,1,2022
2022-10-18 00:00:00,7692,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,7692,0.782276760035558,1,1,"{""tail_cdf"":0.999333399520615,""tail_p"":0.8256438374519348}",0.782276760035558,0.999333399520615,0.8256438374519348,0.0577222702552711,-0.35428570920360314,0.782276760035558,-0.010387535206973553,DETECTED,False,1,0,2022
2022-11-07 00:00:00,7692,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,7692,0.225545476832557,1,1,"{""tail_cdf"":0.9992568379967253,""tail_p"":0.8269861340522766}",0.225545476832557,0.9992568379967253,0.8269861340522766,-0.03437496316432809,0.012008740367697834,0.225545476832557,-0.005076142027974129,DETECTED,False,1,0,2022
2022-12-01 00:00:00,4422,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,4422,3.6880881012769415,1,1,"{""tail_cdf"":0.999534841925543,""tail_p"":0.8430464267730713}",3.6880881012769415,0.999534841925543,0.8430464267730713,-0.0015503875968991832,0.3889288586533033,3.6880881012769415,0.0,DETECTED,False,1,0,2022
2022-12-02 00:00:00,4422,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,4422,1.1771773015856577,1,2,"{""tail_cdf"":0.9996987044290448,""tail_p"":0.852885365486145}",1.1771773015856577,0.9996987044290448,0.852885365486145,-0.04192546583850931,0.2739160090317747,1.1771773015856577,-0.008406727109104395,COOLDOWN_BLOCKED,True,1,1,2022
2022-12-02 00:00:00,2334,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,2334,4.296931174321953,2,2,"{""tail_cdf"":0.9992176886929587,""tail_p"":0.8282030820846558}",4.296931174321953,0.9992176886929587,0.8282030820846558,0.05358614869305889,0.5434782408385992,4.296931174321953,-0.008406727109104395,DETECTED,False,1,1,2022
2022-12-06 00:00:00,4594,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,4594,0.19464222299575612,1,1,"{""tail_cdf"":0.9995031266022846,""tail_p"":0.8411810994148254}",0.19464222299575612,0.9995031266022846,0.8411810994148254,-0.023076923076923106,-0.037878787878787845,0.19464222299575612,-0.022182267159223557,DETECTED,False,1,0,2022
2022-12-09 00:00:00,4448,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,4448,1.2155761589403973,1,2,"{""tail_cdf"":0.9993392640987827,""tail_p"":0.8326659202575684}",1.2155761589403973,0.9993392640987827,0.8326659202575684,0.08028169014084496,0.1727828746177369,1.2155761589403973,-0.014684287831187248,DETECTED,False,2,0,2022
2022-12-09 00:00:00,9553,monster_weak_early_v20_lag1,3398a83d1ac17dfc246c13208d80a7604d6c5cc4b56e8a16844bfd487a1c6a5c,9553,3.6706025285698014,2,2,"{""tail_cdf"":0.9993234064371534,""tail_p"":0.832297146320343}",3.6706025285698014,0.9993234064371534,0.832297146320343,0.11327312993356475,0.24089849893941362,3.6706025285698014,-0.014684287831187248,DETECTED,False,2,0,2022
