selector,period,source_status,n,mean_pct,median_pct,win_pct,plus10_pct,plus20_pct,plus50_pct,minus10_pct,minus20_pct,max_up_pct,max_down_pct,top1_ex_mean_pct,top3_ex_mean_pct,one_hundred_shares_pl_yen,rank__mean_pct,rank__median_pct,rank__win_pct,rank__top3_ex_mean_pct,rank__max_down_pct,rank__minus10_pct,rank__minus20_pct,ordinal_score,rank
mean_rank_volr20_body_pct,2023-2026,EXACT_CANONICAL_ROWS,214,6.5331767351951546,1.4520202020200002,51.86915887850467,32.710280373831765,20.093457943925237,7.009345794392523,28.504672897196254,7.9439252336448591,130,-52.370368109800005,5.9535202879425517,4.9790747361789727,425423.33335882105,2,1,1,1,4.5,1.5,2,1.8571428571428572,1
dual_top1_agreement_g3_no_acute_selloff,2023-2026,EXACT_CANONICAL_ROWS,149,6.8183305484410512,1.3888888888900002,51.677852348993291,30.201342281879199,18.12080536912752,8.0536912751677843,28.85906040268457,9.3959731543624176,130,-41.923076923099998,5.9860219710656564,4.5781931487651839,290316.66221623903,1,2,2,3,2,3,5,2.5714285714285716,2
body_pct_low,2023-2026,EXACT_CANONICAL_ROWS,214,6.2208868151142633,0.98767598767550002,50.467289719626166,32.242990654205606,19.626168224299064,6.5420560747663545,29.4392523364486,7.9439252336448591,130,-41.923076923099998,5.6397642180021252,4.6623446750542756,410184.99946599902,4,3.5,4,2,2,5,2,3.2142857142857144,3
dual_top1_agreement,2023-2026,EXACT_CANONICAL_ROWS,176,6.367712124697106,0.98767598767550002,50.56818181818182,30.681818181818183,18.75,7.3863636363636349,28.97727272727273,9.0909090909090917,130,-41.923076923099998,5.6612419082668026,4.4693773523045692,339016.66145330301,3,3.5,3,4,2,4,4,3.3571428571428572,4
volr20_low,2023-2026,EXACT_CANONICAL_ROWS,214,5.7127329186348952,0.34825718818000001,50,30.841121495327101,18.691588785046729,7.009345794392523,28.504672897196254,7.9439252336448591,130,-52.370368109800005,5.1292246224782492,4.1469658416581403,363393.332290727,5,5,5,5,4.5,1.5,2,4,5
cloud_monster_canonical,2026-only-total,EXACT_CANONICAL_ROWS,63,4.5821476910933798,-0.14064697608999999,49.206349206349195,30.158730158730151,15.87301587301587,,20.634920634920633,7.9365079365079305,87.200000000000017,-41.044776119402982,,1.3912920491392999,153500,,,,,,,,,
